Condor,,2026-06-13T11:52:03,Batt % (Start),93.86328,Batt % (End),87.35156,MCU Temp (Start),28,MCU Temp (End),38,,,,,,,,,
time (ms), acc_x (m/s^2), acc_y (m/s^2), acc_z (m/s^2), gyro_x (dps), gyro_y (dps), gyro_z (dps), mag_x (μT), mag_y (μT), mag_z (μT), baro_alt (m), gps_alt (m), temp (c), lat (ddmm.mmmm), lon(ddmm.mmmm), est_yaw (deg), est_pitch (deg), est_roll(deg), est_alt (m), est_speed(m/s)
-697,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,0.14,-4.7177816,10.195831,3.1067948,0.23242188,408.3,32.68416,2827.6,8031.8,1.4464584,-1.4455427,296.64072,2.5127974,1.4615451
-675,9.81453,-0.5189694,0.27700818,0.11794749,-0.0715051,0,-4.708993,10.2066,3.0186144,0.250885,408.3,32.68608,2827.6,8031.8,1.7231126,-1.4750161,296.64688,2.513257,1.4515944
-653,10.775582,-0.038443564,0.757534,0.11794749,-0.0715051,0,-4.680869,10.185063,3.0280624,0.22714234,408.3,32.689636,2827.6,8031.8,1.4650059,-1.90314652,296.64764,2.5133946,1.4628934
-631,10.295056,-0.038443564,0.27700818,-0.022052508,0.068494888,-0.14,-4.6861424,10.197178,3.015465,0.25881958,408.3,32.679596,2827.6,8031.8,1.2296693,-1.83330576,296.6506,2.5141032,1.4636527
-608,10.295056,-0.038443564,0.27700818,-0.022052508,0.068494888,-0.14,-4.7107508,10.209292,3.0406594,0.245605468,408.3,32.688584,2827.6,8031.8,1.0476354,-1.778068,296.65796,2.514634,1.4643506
-586,10.295056,-0.038443564,0.757534,0.11794749,0.068494888,-0.14,-4.6931732,10.193139,3.056406,0.2244873,408.3,32.687044,2827.6,8031.8,0.9029689,-2.1804498,296.67154,2.5148778,1.4649528
-564,10.295056,-0.5189694,0.27700818,0.11794749,0.068494888,-0.14,-4.7195396,10.205255,3.0091662,0.250885,408.3,32.68959,2827.6,8031.8,1.2384895,-2.0690916,296.69418,2.5154998,1.4656705
-542,10.295056,-0.5189694,0.27700818,0.11794749,0.068494888,0,-4.7177816,10.2066,3.0186144,0.23242188,408.3,32.698976,2827.6,8031.8,1.525655,-1.9735087,296.717,2.5158712,1.4663038
-519,10.295056,-0.038443564,0.27700818,0.11794749,-0.0715051,0,-4.6826268,10.189101,3.0532568,0.25619508,408.3,32.68199,2827.6,8031.8,1.2750448,-1.8794626,296.73644,2.5165832,1.4670403
-497,10.295056,-0.038443564,0.27700818,0.11794749,-0.0715051,0.14,-4.6931732,10.205255,3.015465,0.25619508,408.3,32.696228,2827.6,8031.8,1.100608,-1.8214056,296.73322,2.5173016,1.4677736
-475,10.295056,-0.5189694,0.27700818,0.11794749,-0.0715051,0.14,-4.716024,10.194485,3.0091662,0.26675416,408.3,32.680984,2827.6,8031.8,1.4138601,-1.7729056,296.74116,2.5181732,1.4685502
